11:11:46 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/dim0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:12:01 [ultranest] [DEBUG] Plateau detected at L=-1.135408e+02, not replacing live point.
11:12:01 [ultranest] [DEBUG] iteration=1013, ncalls=2744, regioncalls=61760, ndraw=40, logz=-116.40, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:01 [ultranest] [DEBUG] Plateau detected at L=-1.135402e+02, not replacing live point.
11:12:01 [ultranest] [DEBUG] Plateau detected at L=-1.135402e+02, not replacing live point.
11:12:02 [ultranest] [DEBUG] iteration=1020, ncalls=2758, regioncalls=62320, ndraw=40, logz=-116.36, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:02 [ultranest] [DEBUG] Plateau detected at L=-1.135402e+02, not replacing live point.
11:12:02 [ultranest] [DEBUG] Plateau detected at L=-1.135402e+02, not replacing live point.
11:12:02 [ultranest] [DEBUG] Plateau detected at L=-1.135402e+02, not replacing live point.
11:12:02 [ultranest] [DEBUG] iteration=1024, ncalls=2761, regioncalls=62440, ndraw=40, logz=-116.34, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:02 [ultranest] [DEBUG] Plateau detected at L=-1.135401e+02, not replacing live point.
11:12:03 [ultranest] [DEBUG] iteration=1026, ncalls=2762, regioncalls=62480, ndraw=40, logz=-116.33, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:03 [ultranest] [DEBUG] Plateau detected at L=-1.135397e+02, not replacing live point.
11:12:03 [ultranest] [DEBUG] iteration=1030, ncalls=2769, regioncalls=62760, ndraw=40, logz=-116.30, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:03 [ultranest] [DEBUG] Plateau detected at L=-1.135395e+02, not replacing live point.
11:12:03 [ultranest] [DEBUG] Plateau detected at L=-1.135395e+02, not replacing live point.
11:12:03 [ultranest] [DEBUG] Plateau detected at L=-1.135395e+02, not replacing live point.
11:12:04 [ultranest] [DEBUG] iteration=1035, ncalls=2777, regioncalls=63080, ndraw=40, logz=-116.28, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:04 [ultranest] [DEBUG] Plateau detected at L=-1.135391e+02, not replacing live point.
11:12:04 [ultranest] [DEBUG] Plateau detected at L=-1.135391e+02, not replacing live point.
11:12:04 [ultranest] [DEBUG] Plateau detected at L=-1.135391e+02, not replacing live point.
11:12:04 [ultranest] [DEBUG] iteration=1041, ncalls=2787, regioncalls=63480, ndraw=40, logz=-116.24, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:04 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:04 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] iteration=1046, ncalls=2792, regioncalls=63680, ndraw=40, logz=-116.22, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135386e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] iteration=1052, ncalls=2793, regioncalls=63720, ndraw=40, logz=-116.19, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135384e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135384e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135384e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135384e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135384e+02, not replacing live point.
11:12:05 [ultranest] [DEBUG] Plateau detected at L=-1.135384e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] iteration=1060, ncalls=2797, regioncalls=63880, ndraw=40, logz=-116.15, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135381e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135381e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135381e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135381e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135381e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135381e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] iteration=1067, ncalls=2799, regioncalls=63960, ndraw=40, logz=-116.11, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] iteration=1076, ncalls=2800, regioncalls=64000, ndraw=40, logz=-116.07, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:06 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] iteration=1080, ncalls=2801, regioncalls=64040, ndraw=40, logz=-116.06, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135379e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] iteration=1086, ncalls=2802, regioncalls=64080, ndraw=40, logz=-116.03, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135376e+02, not replacing live point.
11:12:07 [ultranest] [DEBUG] Plateau detected at L=-1.135376e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] iteration=1089, ncalls=2803, regioncalls=64120, ndraw=40, logz=-116.02, remainder_fraction=100.0000%, Lmin=-113.54, Lmax=-9.68
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
11:12:08 [ultranest] [DEBUG] Plateau detected at L=-1.135375e+02, not replacing live point.
